GLDS #,Organism(s),Assay(s),Project Type,
GLDS-1,Drosophila melanogaster,Microarray,Spaceflight Study,
GLDS-2,Homo sapiens,Microarray,Ground Study,
GLDS-3,Drosophila melanogaster,Microarray,Spaceflight Study,
GLDS-4,Mus musculus,Microarray,Spaceflight Study,
GLDS-5,Homo sapiens,Microarray,Ground Study,
GLDS-6,Rattus norvegicus,Microarray,Ground Study,
GLDS-7,Arabidopsis thaliana,Microarray,Spaceflight Study,
GLDS-8,Arabidopsis thaliana,Microarray,Ground Study,
GLDS-9,Homo sapiens,Microarray,Ground Study,
GLDS-10,Saccharomyces cerevisiae,Microarray,Ground Study,
GLDS-11,Salmonella enterica,Microarray,Spaceflight Study,
GLDS-12,Saccharomyces cerevisiae,Microarray,Ground Study,
GLDS-13,Homo sapiens,Microarray,Spaceflight Study,
GLDS-14,Pseudomonas aeruginosa,Microarray,Ground Study,
GLDS-15,Pseudomonas aeruginosa,Microarray,Spaceflight Study,
GLDS-16,Arabidopsis thaliana,Proteomics,Spaceflight Study,
GLDS-17,Arabidopsis thaliana,Microarray,Spaceflight Study,
GLDS-18,Mus musculus,Microarray,Ground Study,
GLDS-19,Rattus norvegicus,Microarray,Ground Study,
GLDS-20,Candida albicans,Microarray,Spaceflight Study,
GLDS-21,Mus musculus,Microarray,Spaceflight Study,
GLDS-22,Arabidopsis thaliana,Microarray,Ground Study,
GLDS-23,
GLDS-24,
GLDS-25,Mus musculus,Microarray,Spaceflight Study,
GLDS-26,environmental samples,genome sequencing,Spaceflight Study,
GLDS-27,Drosophila melanogaster,Microarray,Ground Study,
GLDS-28,Bacillus subtilis,Microarray,Spaceflight Study,
GLDS-29,Mus musculus,Microarray,Ground Study,
GLDS-30,Mus musculus,Microarray,Ground Study,
GLDS-31,Rhodospirilium rubrum,Microarray,Spaceflight Study,
GLDS-32,Mus musculus,Microarray,Ground Study,
GLDS-33,Mus musculus,Microarray,Spaceflight Study,
GLDS-34,Drosophila melanogaster,Microarray,Ground Study,
GLDS-35,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-36,Drosophila melanogaster,Microarray,Spaceflight Study,
GLDS-37,Arabidopsis thaliana,RNAseq,Spaceflight Study,
GLDS-38,Arabidopsis thaliana,RNASeq,Spaceflight Study,
GLDS-38,Arabidopsis thaliana,Proteomics,Spaceflight Study,
GLDS-39,Rhodospirilium rubrum,Microarray,Spaceflight Study,
GLDS-40,Caenorhabditis elegans,Microarray,Ground Study,
GLDS-41,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-42,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-43,Escherichia coli,Microarray,Ground Study,
GLDS-44,Arabidopsis thaliana,Microarray,Spaceflight Study,
GLDS-45,Arabidopsis thaliana,Microarray,Ground Study,
GLDS-46,Arabidopsis thaliana,Microarray,Ground Study,
GLDS-47,Mus musculus,RNAseq,Spaceflight Study,
GLDS-48,Mus musculus,RNAseq,Spaceflight Study,
GLDS-49,Mus musculus,RNAseq,Spaceflight Study,
GLDS-50,Mus musculus,Microarray,Spaceflight Study,
GLDS-51,Homo sapiens,Microarray,Ground Study,
GLDS-52,Homo sapiens,Microarray,Spaceflight Study,
GLDS-53,Homo sapiens,Microarray,Spaceflight Study,
GLDS-54,Homo sapiens,Microarray,Spaceflight Study,
GLDS-55,Homo sapiens,Microarray,Ground Study,
GLDS-56,Homo sapiens,Microarray,Ground Study,
GLDS-57,Ceratopteris richardii,RNAseq,Ground Study,
GLDS-58,Saccharomyces cerevisiae,Microarray,Spaceflight Study,
GLDS-59,Brassica rapa,RNAseq,Spaceflight Study,
GLDS-60,Danio rerio,Microarray,Ground Study,
GLDS-61,Mus musculus,Microarray,Spaceflight Study,
GLDS-62,Saccharomyces cerevisiae,Microarray,Spaceflight Study,
GLDS-63,Rattus norvegicus,Microarray,Spaceflight Study,
GLDS-64,Bacillus,genome sequencing,Spaceflight Study,
GLDS-65,environmental samples,environmental gene survey,Spaceflight Study,
GLDS-66,environmental samples,environmental gene survey,Spaceflight Study,
GLDS-67,"Klebsiella, Staphylococcus, Pantoea conspicus, Enterobacter, …",genome sequencing,Spaceflight Study,
GLDS-68,Aspergillus fumigatus,genome sequencing,Spaceflight Study,
GLDS-69,environmental samples,metagenome profiling,Spaceflight Study,
GLDS-70,Drosophila melanogaster,Microarray,Ground Study,
GLDS-71,Homo sapiens,Microarray,Ground Study,
GLDS-72,Microbiota,genome sequencing,Spaceflight Study,
GLDS-73,Homo sapiens,Microarray,Ground Study,
GLDS-74,Mus musculus,Microarray,Ground Study,
GLDS-75,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-76,Danio rerio,Microarray,Ground Study,
GLDS-78,Homo sapiens,Microarray,Ground Study,
GLDS-79,Mus musculus,Microarray,Ground Study,
GLDS-80,Mus musculus,Microarray,Ground Study,
GLDS-81,Bacillus subtilis,Microarray,Ground Study,
GLDS-82,environmental samples,metagenome profiling,Spaceflight Study,
GLDS-83,Oryzias latipes,RNASeq,Spaceflight Study,
GLDS-84,"Escherichia coli, Mus musculus, Enterobacteria phage lambda",genome sequencing,Spaceflight Study,
GLDS-85,Drosophila melanogaster,RNASeq,Ground Study,
GLDS-86,Homo sapiens,epigenomics,Ground Study,
GLDS-87,Mus musculus,Microarray,Spaceflight Study,
GLDS-88,Mus musculus,Microarray,Ground Study,
GLDS-89,Mus musculus,Microarray,Ground Study,
GLDS-90,Mycobacterium marinum,RNASeq,Ground Study,
GLDS-91,Homo sapiens,RNASeq,Ground Study,
GLDS-92,Homo sapiens,Microarray,Ground Study,
GLDS-93,Mus musculus,Microarray,Ground Study,
GLDS-94,Mus musculus,Microarray,Ground Study,
GLDS-95,Escherichia coli,RNASeq,Spaceflight Study,
GLDS-96,Drosophila melanogaster,RNASeq,Spaceflight Study,
GLDS-97,Saccharomyces cerevisiae,Microarray,Ground Study,
GLDS-98,Mus musculus,RNASeq,Spaceflight Study,
GLDS-98,Mus musculus,Proteomics,Spaceflight Study,
GLDS-98,Mus musculus,epigenomics,Spaceflight Study,
GLDS-99,Mus musculus,RNASeq,Spaceflight Study,
GLDS-100,Mus musculus,RNASeq,Spaceflight Study,
GLDS-101,Mus musculus,RNASeq,Spaceflight Study,
GLDS-102,Mus musculus,RNASeq,Spaceflight Study,
GLDS-103,Mus musculus,RNASeq,Spaceflight Study,
GLDS-104,Mus musculus,RNASeq,Spaceflight Study,
GLDS-105,Mus musculus,RNASeq,Spaceflight Study,
GLDS-106,Streptococcus mutans,RNASeq,Ground Study,
GLDS-107,Mus musculus,Microarray,Ground Study,
GLDS-108,Mus musculus,metabolomics,Spaceflight Study,
GLDS-109,Mus musculus,Microarray,Ground Study,
GLDS-110,Daphnia magna,Proteomics,Ground Study,
GLDS-111,Mus musculus,Microarray,Spaceflight Study,
GLDS-112,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-113,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-114,Homo sapiens,Microarray,Ground Study,
GLDS-115,Homo sapiens,Microarray,Ground Study,
GLDS-116,Mus musculus,Microarray,Spaceflight Study,
GLDS-116,Mus musculus,metabolomics,Spaceflight Study,
GLDS-117,Mus musculus,Microarray,Ground Study,
GLDS-118,Homo sapiens,Microarray,Spaceflight Study,
GLDS-119,"Euprymna scolopes, vibrio",RNASeq,Ground Study,
GLDS-120,Arabidopsis thaliana,RNASeq,Spaceflight Study,
GLDS-121,Arabidopsis thaliana,Microarray,Spaceflight Study,
GLDS-122,Rattus norvegicus,Proteomics,Ground Study,
GLDS-123,Danio rerio,Microarray,Ground Study,
GLDS-124,Home,Microarray,Ground Study,
GLDS-125,Homo sapiens,Microarray,Ground Study,
GLDS-126,environmental samples,metagenome profiling,Spaceflight Study,
GLDS-127,Homo sapiens,RNASeq,Ground Study,
GLDS-128,Homo sapiens,Microarray,Ground Study,
GLDS-129,Homo sapiens,Microarray,Ground Study,
GLDS-130,Homo sapiens,Microarray,Ground Study,
GLDS-131,Mus musculus,Microarray,Ground Study,
GLDS-132,"Trichoderma virens, Aspergillus terreus, Aurebasidium pullulans…",genome sequencing,Ground Study,
GLDS-133,Oryzias latipes,RNASeq,Spaceflight Study,
GLDS-134,Arabidopsis thaliana,Microarray,Ground Study,
GLDS-135,Mus musculus,Microarray,Spaceflight Study,
GLDS-136,Arabidopsis thaliana,Microarray,Ground Study,
GLDS-137,Mus musculus,RNASeq,Spaceflight Study,
GLDS-138,Bacillus subtilis,RNASeq,Spaceflight Study,
GLDS-139,Mus musculus,Proteomics,Spaceflight Study,
GLDS-140,Homo sapiens,epigenomics,Ground Study,
GLDS-141,Mus musculus,RNASeq,Ground Study,
GLDS-142,
GLDS-143,
GLDS-144,Arabidopsis thaliana,Microarray,Ground Study,
GLDS-145,Staphylococcus aureus,RNASeq,Spaceflight Study,
GLDS-146,"Mus musculus, microbiota",environmental gene survey,Ground Study,
GLDS-147,Arabidopsis thaliana,Microarray,Spaceflight Study,
GLDS-148,Mus musculus,Microarray,Ground Study,
GLDS-149,Homo sapiens,Microarray,Ground Study,
GLDS-150,
GLDS-151,Homo sapiens,Microarray,Ground Study,
GLDS-152,Homo sapiens,Microarray,Ground Study,
GLDS-153,Mus musculus,Microarray,Ground Study,
GLDS-154,Homo sapiens,Microarray,Ground Study,
GLDS-155,Homo sapiens,Microarray,Ground Study,
GLDS-156,Mus musculus,Microarray,Ground Study,
GLDS-157,Homo sapiens,Microarray,Ground Study,
GLDS-158,Mus musculus,Microarray,Ground Study,
GLDS-159,Mus musculus,Microarray,Ground Study,
GLDS-160,Mus musculus,Microarray,Ground Study,
GLDS-161,Mus musculus,RNASeq,Spaceflight Study,
GLDS-162,Mus musculus,RNASeq,Spaceflight Study,
GLDS-163,Mus musculus,RNASeq,Spaceflight Study,
GLDS-164,Mus musculus,RNASeq,Spaceflight Study,
GLDS-165,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-166,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-167,Caenorhabditis elegans,Microarray,Spaceflight Study,
GLDS-168,Mus musculus,RNASeq,Spaceflight Study,
GLDS-169,
GLDS-170,
GLDS-171,
GLDS-172,Homo sapiens,Microarray,Parabolic Flight Study,
GLDS-173,Mus musculus ,RNASeq,Spaceflight Study,
GLDS-174,Homo sapiens,Microarray,Spaceflight Study,
GLDS-175,
GLDS-176,
GLDS-177,
GLDS-178,
GLDS-179,
GLDS-180,
GLDS-181,
GLDS-182,
GLDS-183,
GLDS-184,
GLDS-185,
GLDS-186,
GLDS-187,
GLDS-188,Homo sapiens,Microarray,Parabolic Flight Study,
GLDS-189,Homo sapiens,Microarray,Ground Study,
GLDS-190,Caenorhabditis elegans,Microarray,Spaceflight Study,
